,stock_large,stock_small,bond,stock_HongKong,stock_US
2004/12/20,-1.3317,,-0.05,1.5837,0.036
2004/12/21,-0.1242,,-0.0501,-0.2339,0.904
2004/12/22,2.5705,,-0.4107,-0.2095,0.3418
2004/12/23,-1.7913,,-0.0604,0.5951,0.0463
2004/12/24,0.0874,,0.1409,-0.2838,
2004/12/27,-0.3889,,-0.0704,,-0.4305
2004/12/28,-0.1727,,-0.0302,0.0144,0.7154
2004/12/29,-0.5115,,0.2817,0.489,-0.0074
2004/12/30,-0.153,,0,-0.7208,0.0082
2004/12/31,-0.3973,,-0.0502,0.4702,-0.1343
2005/1/4,-1.7206,,0.0703,-1.2947,-1.9696
2005/1/5,0.9941,1.6927,0.1906,-2.0044,-0.3628
2005/1/6,-0.946,-0.9005,0.1602,-0.3801,0.3506
2005/1/7,0.0797,0.3027,0.02,-1.0004,-0.1431
2005/1/10,1.0083,0.8752,0.04,-0.3202,0.3423
2005/1/11,0.3276,0.1993,0.02,-0.1636,-0.61
2005/1/12,-0.0388,0.0275,-0.02,0.415,0.3981
2005/1/13,0.0129,0.4412,0.0999,0.0588,-0.863
2005/1/14,-0.8598,-1.2735,0.0499,-0.5783,0.6005
2005/1/17,-2.1101,-2.2643,0.1097,0.9401,
2005/1/18,0.748,1.4217,0.0598,-0.128,0.9675
2005/1/19,-0.7673,-0.5223,0.01,0.547,-0.949
2005/1/20,-1.1337,-1.397,-0.0398,-0.9872,-0.7783
2005/1/21,2.7565,1.6511,0.0199,-0.462,-0.6415
2005/1/24,1.5804,1.9884,0.0697,-0.6975,-0.3528
2005/1/25,-0.0359,-0.8552,0.0796,1.4721,0.4004
2005/1/26,-0.7864,-1.1603,0.1293,0.2917,0.4844
2005/1/27,-1.5453,-1.6784,0.0497,0.0384,0.0409
2005/1/28,-0.5563,-1.9519,0.0199,0.1552,-0.2716
2005/1/31,-1.4785,-3.1247,0.1588,0.5248,0.846
2005/2/1,0.1123,-1.0103,0.0595,-1.0453,0.6891
2005/2/2,5.331,5.5743,0,-0.1654,0.3178
2005/2/3,-1.3604,-1.9633,0.0396,-0.2985,-0.2766
2005/2/4,2.3805,1.7683,0.1287,0.5167,1.1043
2005/2/16,0.6614,1.0716,0.1087,3.1676,0.6076
2005/2/17,-0.2909,0.5075,0.0296,-0.3401,-0.7923
2005/2/18,-1.4257,-1.2794,0.1382,0.8595,0.07
2005/2/21,1.946,1.7673,0.1183,0.1688,
2005/2/22,2.0583,2.6348,0.0492,-0.1497,-1.4506
2005/2/23,-0.2675,1.1482,0.0098,-0.9409,0.5607
2005/2/24,0.1452,0.509,0.0787,0.7377,0.7894
2005/2/25,0.1244,-0.032,0.0885,0.684,0.9307
2005/2/28,-0.6469,-0.3194,0.1179,0.2703,-0.6414
2005/3/1,-0.3899,0.0309,0.0098,-0.9454,0.5658
2005/3/2,-1.4107,-1.4703,-0.1472,-1.4961,-0.0273
2005/3/3,0.6257,0.5109,-0.0393,0.3003,0.0322
2005/3/4,-0.3934,-0.7988,0.0786,-1.1632,0.9624
2005/3/7,0.6061,0.3731,0.0491,0.2998,0.261
2005/3/8,1.8562,2.2349,0.2356,0.797,-0.4799
2005/3/9,-0.2329,0.3004,-0.0686,0.4305,-1.0185
2005/3/10,-2.3058,-2.6154,0.0588,-0.6129,0.1856
2005/3/11,0.4906,0.3868,0.0588,0.2519,-0.7583
2005/3/14,0.3501,-0.1652,0.1273,0.1146,0.5625
2005/3/15,-1.6976,-1.3828,0.2249,-0.6479,-0.7524
2005/3/16,-1.0318,-0.9977,0.1561,0.1141,-0.8082
2005/3/17,-1.0171,-1.3162,0.3604,-0.105,0.1801
2005/3/18,-1.43,-2.2099,0.1068,0.0751,-0.0471
2005/3/21,0.3298,0.0046,0.1163,0.0432,-0.4934
2005/3/22,-1.8199,-2.8423,0,-0.4184,-1.0196
2005/3/23,-0.5201,0.0683,-0.0097,-1.2547,0.07
2005/3/24,0.6039,1.0998,0.1259,-0.0479,-0.0947
2005/3/25,-0.1913,-0.2068,-0.029,,
2005/3/28,-0.2346,-0.9119,0.1161,,0.2441
2005/3/29,-0.5731,-0.6622,0.0483,-1.3622,-0.7596
2005/3/30,-1.9008,-3.039,0.0773,0.1034,1.3773
2005/3/31,0.5516,0.8008,0.0386,0.6788,-0.0694
2005/4/1,3.8147,3.5129,0.0965,-0.1889,-0.6497
2005/4/4,-1.6334,-1.9057,-0.0675,0.1635,0.2728
2005/4/5,-0.6828,-0.8931,0.0193,,0.4481
2005/4/6,1.891,1.8645,0.0675,0.3615,0.2269
2005/4/7,1.1364,1.4997,0.1157,0.2956,0.5971
2005/4/8,1.9002,1.8367,0.1444,0.4732,-0.8345
2005/4/11,-0.7996,-0.0998,0.0769,-0.0497,0.0008
2005/4/12,-1.6801,-2.2244,0.2689,-0.0138,0.5545
2005/4/13,2.2686,2.4605,0.0479,1.0365,-1.1762
2005/4/14,-1.3912,-1.5579,0.1149,-0.1973,-1.0002
2005/4/15,-1.3063,-2.3683,0.0669,-0.9704,-1.672
2005/4/18,-1.0584,-1.3307,-0.0191,-2.0788,0.2941
2005/4/19,0.2193,0.185,0.1243,0.6654,0.5934
2005/4/20,-1.5549,-2.0716,0.0286,0.428,-1.3255
2005/4/21,-0.7242,-1.8952,-0.0573,0.7087,1.9736
2005/4/22,-0.517,-1.1445,-0.1528,0.7078,-0.675
2005/4/25,-0.9617,-1.9061,0.1148,0.4139,0.8662
2005/4/26,0.754,1.6862,0.1529,0.7953,-0.8915
2005/4/27,-1.1183,-1.7875,-0.0191,-0.1439,0.4029
2005/4/28,1.6694,2.46,0.0095,0.5042,-1.138
2005/4/29,-1.0273,-1.5111,0.0668,-0.0032,1.1922
2005/5/9,-2.4905,-3.4464,0.0381,1.2662,1.9009
2005/5/10,0.4292,-0.038,0.0572,-0.4736,-1.0705
