,wind_code
668,570007.OF
669,570008.OF
670,580001.OF
671,580002.OF
672,580003.OF
673,580006.OF
674,580007.OF
675,580008.OF
676,582003.OF
677,590001.OF
678,590002.OF
679,590005.OF
680,590008.OF
681,610001.OF
682,610004.OF
683,610005.OF
684,610006.OF
685,610007.OF
686,620001.OF
687,620004.OF
688,620005.OF
689,620006.OF
690,620008.OF
691,630001.OF
692,630002.OF
693,630006.OF
694,630010.OF
695,630011.OF
696,660001.OF
697,660003.OF
698,660004.OF
699,660005.OF
700,660006.OF
701,660010.OF
702,660012.OF
703,660015.OF
704,671010.OF
705,688888.OF
706,690003.OF
707,690004.OF
708,690005.OF
709,690007.OF
710,700001.OF
711,700003.OF
712,710001.OF
713,730001.OF
714,730002.OF
715,740001.OF
716,960001.OF
717,960002.OF
718,960005.OF
719,960006.OF
720,960007.OF
721,960008.OF
722,960010.OF
723,960011.OF
724,960012.OF
725,960013.OF
726,960014.OF
727,960015.OF
728,960016.OF
729,960018.OF
730,960019.OF
731,960020.OF
732,960021.OF
733,960023.OF
734,960024.OF
735,960025.OF
736,960026.OF
737,960028.OF
738,960030.OF
739,960031.OF
740,960032.OF
741,960033.OF
742,960041.OF
743,F050004.OF
744,F050026.OF
745,F080012.OF
746,F161616.OF
747,F202003.OF
748,F450004.OF
749,F450005.OF
